encoder,quality,img_id,bytes,bpp,wall_s,wall_per_mpx,max_rss_kb
jxl,70,img032,234609,0.1048,0.830,0.046,748392
jxl,90,img032,740028,0.3304,0.840,0.047,762660
webp,60,img033,492334,0.1517,3.160,0.122,140800
webp,75,img033,778976,0.2401,3.370,0.130,140928
webp,90,img033,2998334,0.9240,4.010,0.154,140928
avif,28,img033,57976,0.0179,0.780,0.030,348668
avif,36,img033,82458,0.0254,0.960,0.037,357760
avif,44,img033,121024,0.0373,1.010,0.039,373248
jxl,30,img033,209272,0.0645,1.420,0.055,1086940
jxl,50,img033,286816,0.0884,1.260,0.049,1088392
jxl,70,img033,538126,0.1658,1.270,0.049,1099312
jxl,90,img033,2389275,0.7363,1.290,0.050,1160620
webp,60,img034,2138394,0.8619,3.560,0.179,126080
webp,75,img034,2889004,1.1644,3.340,0.168,126208
webp,90,img034,6070486,2.4467,3.880,0.195,153032
avif,28,img034,53141,0.0214,0.700,0.035,284420
avif,36,img034,147645,0.0595,1.220,0.061,300972
avif,44,img034,707621,0.2852,0.950,0.048,312156
jxl,30,img034,408763,0.1647,0.850,0.043,855664
jxl,50,img034,759896,0.3063,1.330,0.067,874800
jxl,70,img034,1630561,0.6572,1.560,0.079,915296
jxl,90,img034,4410560,1.7777,1.660,0.084,971524
webp,60,img035,333678,0.2654,1.370,0.136,56064
webp,75,img035,406786,0.3235,1.280,0.127,56320
webp,90,img035,877068,0.6975,1.530,0.152,56320
avif,28,img035,107665,0.0856,0.510,0.051,167260
avif,36,img035,196977,0.1566,0.680,0.068,171188
avif,44,img035,312076,0.2482,0.650,0.065,176348
jxl,30,img035,179261,0.1426,0.550,0.055,431696
jxl,50,img035,242614,0.1929,0.500,0.050,432896
jxl,70,img035,362058,0.2879,0.430,0.043,435784
jxl,90,img035,796715,0.6336,0.500,0.050,444496
webp,60,img036,139706,0.1052,1.370,0.129,57216
webp,75,img036,177908,0.1339,1.410,0.133,57344
webp,90,img036,480302,0.3616,1.380,0.130,57344
avif,28,img036,34863,0.0262,0.340,0.032,174496
avif,36,img036,56611,0.0426,0.360,0.034,177952
avif,44,img036,96987,0.0730,0.380,0.036,183204
jxl,30,img036,91980,0.0692,0.380,0.036,450300
jxl,50,img036,119147,0.0897,0.380,0.036,450676
jxl,70,img036,175138,0.1318,0.400,0.038,451576
jxl,90,img036,519430,0.3910,0.410,0.039,462332
webp,60,img037,143564,0.0962,1.470,0.123,66304
webp,75,img037,183432,0.1229,1.320,0.111,66432
webp,90,img037,695842,0.4661,1.680,0.141,66304
avif,28,img037,25302,0.0169,0.360,0.030,165440
avif,36,img037,37220,0.0249,0.350,0.029,170428
avif,44,img037,54746,0.0367,0.380,0.032,175036
jxl,30,img037,98433,0.0659,0.520,0.044,504132
jxl,50,img037,130737,0.0876,0.490,0.041,504680
jxl,70,img037,190015,0.1273,0.490,0.041,505840
jxl,90,img037,747475,0.5007,0.510,0.043,526448
webp,60,img038,216950,0.0873,2.030,0.102,99968
webp,75,img038,270560,0.1089,1.950,0.098,99968
webp,90,img038,655686,0.2640,2.160,0.109,99968
avif,28,img038,43769,0.0176,0.550,0.028,304168
avif,36,img038,61863,0.0249,0.620,0.031,312612
avif,44,img038,91552,0.0369,0.610,0.031,322848
jxl,30,img038,142914,0.0575,0.690,0.035,824300
jxl,50,img038,181276,0.0730,0.680,0.034,824940
jxl,70,img038,263020,0.1059,0.690,0.035,826116
jxl,90,img038,671188,0.2702,0.700,0.035,835396
webp,60,img039,210838,0.1357,1.360,0.109,67584
webp,75,img039,261848,0.1685,1.340,0.108,67712
webp,90,img039,665308,0.4281,1.510,0.121,67584
avif,28,img039,44734,0.0288,0.380,0.031,211076
avif,36,img039,66347,0.0427,0.400,0.032,215172
avif,44,img039,98340,0.0633,0.430,0.035,221444
jxl,30,img039,142422,0.0916,0.470,0.038,522892
jxl,50,img039,189368,0.1219,0.470,0.038,524192
jxl,70,img039,271609,0.1748,0.470,0.038,525384
jxl,90,img039,714630,0.4598,0.500,0.040,537604
webp,60,img040,1371020,1.3492,1.510,0.186,51840
webp,75,img040,1692188,1.6653,1.380,0.170,53420
webp,90,img040,2990340,2.9427,1.540,0.189,81456
avif,28,img040,26790,0.0264,0.260,0.032,120276
avif,36,img040,142638,0.1404,0.350,0.043,132436
avif,44,img040,650049,0.6397,0.410,0.050,135896
jxl,30,img040,159427,0.1569,0.350,0.043,360124
jxl,50,img040,385263,0.3791,0.360,0.044,375740
jxl,70,img040,903736,0.8894,0.410,0.050,397496
jxl,90,img040,2156663,2.1223,0.500,0.062,413756
webp,60,img041,325866,0.1365,2.370,0.124,104448
webp,75,img041,446152,0.1868,2.150,0.113,104448
webp,90,img041,1717702,0.7193,2.620,0.137,104448
avif,28,img041,56935,0.0238,0.550,0.029,268472
avif,36,img041,91106,0.0382,0.560,0.029,274620
avif,44,img041,142735,0.0598,0.590,0.031,284856
jxl,30,img041,190646,0.0798,0.730,0.038,805484
jxl,50,img041,253171,0.1060,0.730,0.038,807444
jxl,70,img041,397472,0.1665,0.750,0.039,810992
jxl,90,img041,1545500,0.6472,0.790,0.041,848372
webp,60,img042,2177362,1.2909,2.320,0.172,86144
webp,75,img042,2616604,1.5513,2.260,0.167,86144
webp,90,img042,4797012,2.8439,2.520,0.187,123496
avif,28,img042,193631,0.1148,0.500,0.037,206996
avif,36,img042,534159,0.3167,0.580,0.043,215060
avif,44,img042,1113114,0.6599,0.680,0.050,223124
jxl,30,img042,496227,0.2942,0.570,0.042,597304
jxl,50,img042,909374,0.5391,0.690,0.051,616680
jxl,70,img042,1658357,0.9832,0.620,0.046,639916
jxl,90,img042,3508232,2.0799,0.650,0.048,661732
webp,60,img043,203434,0.1094,1.550,0.104,79872
webp,75,img043,253632,0.1364,1.580,0.106,79872
webp,90,img043,781846,0.4206,1.840,0.124,79872
avif,28,img043,43810,0.0236,0.450,0.030,212728
avif,36,img043,59828,0.0322,0.480,0.032,217720
avif,44,img043,82823,0.0446,0.490,0.033,225788
jxl,30,img043,146385,0.0787,0.570,0.038,624132
jxl,50,img043,179577,0.0966,0.570,0.038,624644
jxl,70,img043,252680,0.1359,0.570,0.038,625960
jxl,90,img043,779561,0.4194,0.600,0.040,642476
webp,60,img044,253300,0.1131,1.520,0.085,86656
webp,75,img044,295562,0.1320,1.450,0.081,86784
webp,90,img044,533512,0.2382,1.510,0.084,86656
avif,28,img044,101187,0.0452,0.440,0.025,239344
avif,36,img044,159512,0.0712,0.490,0.027,242932
avif,44,img044,231401,0.1033,0.500,0.028,249844
jxl,30,img044,140299,0.0626,0.540,0.030,742916
jxl,50,img044,181989,0.0813,0.560,0.031,743812
jxl,70,img044,259002,0.1157,0.560,0.031,745396
jxl,90,img044,483913,0.2161,0.600,0.033,748820
webp,60,img045,170340,0.0648,2.430,0.116,110336
webp,75,img045,222142,0.0845,2.300,0.109,110592
webp,90,img045,1032514,0.3928,2.580,0.123,110464
avif,28,img045,32809,0.0125,0.570,0.027,297028
avif,36,img045,42294,0.0161,0.590,0.028,303300
avif,44,img045,57233,0.0218,0.610,0.029,314688
jxl,30,img045,133444,0.0508,0.810,0.039,876200
jxl,50,img045,165248,0.0629,0.820,0.039,876068
jxl,70,img045,234541,0.0892,0.810,0.039,877492
jxl,90,img045,1028706,0.3914,0.830,0.039,907684
webp,60,img046,724780,0.2863,2.670,0.132,115968
webp,75,img046,1018140,0.4022,2.570,0.127,116096
webp,90,img046,2874212,1.1354,3.130,0.155,115968
avif,28,img046,46907,0.0185,0.680,0.034,265180
avif,36,img046,96371,0.0381,0.880,0.043,293468
avif,44,img046,248672,0.0982,0.900,0.044,308184
jxl,30,img046,247942,0.0979,0.890,0.044,857016
jxl,50,img046,425438,0.1681,0.970,0.048,862444
jxl,70,img046,796620,0.3147,0.960,0.047,877060
jxl,90,img046,2337434,0.9233,1.030,0.051,915588
webp,60,img047,648028,0.2160,3.010,0.125,132992
webp,75,img047,811254,0.2704,2.910,0.121,132992
webp,90,img047,2054048,0.6847,3.340,0.139,132992
avif,28,img047,150397,0.0501,0.880,0.037,356040
avif,36,img047,218670,0.0729,0.890,0.037,364484
avif,44,img047,310652,0.1036,0.910,0.038,374340
jxl,30,img047,434058,0.1447,0.930,0.039,1011308
jxl,50,img047,568368,0.1895,0.990,0.041,1014440
jxl,70,img047,804492,0.2682,0.980,0.041,1018740
jxl,90,img047,2121924,0.7073,0.990,0.041,1052984
webp,60,img048,85260,0.0602,1.120,0.099,56960
webp,75,img048,110030,0.0776,1.080,0.095,56960
webp,90,img048,296028,0.2089,1.140,0.101,56960
avif,28,img048,13986,0.0099,0.260,0.023,164536
avif,36,img048,21207,0.0150,0.250,0.022,168760
avif,44,img048,33027,0.0233,0.270,0.024,174644
jxl,30,img048,50652,0.0357,0.380,0.034,471692
jxl,50,img048,74582,0.0526,0.360,0.032,472668
jxl,70,img048,131673,0.0929,0.350,0.031,473960
jxl,90,img048,224283,0.1583,0.360,0.032,474668
webp,60,img049,1849426,0.3480,5.800,0.136,236160
webp,75,img049,2746886,0.5169,5.580,0.131,236288
webp,90,img049,7593288,1.4289,21.500,0.506,236032
avif,28,img049,80624,0.0152,1.250,0.029,567472
avif,36,img049,129249,0.0243,1.200,0.028,580272
avif,44,img049,372295,0.0701,1.280,0.030,610868
jxl,30,img049,413645,0.0778,1.540,0.036,1781080
jxl,50,img049,765969,0.1441,1.630,0.038,1799496
jxl,70,img049,1757514,0.3307,1.670,0.039,1849788
jxl,90,img049,5825301,1.0962,1.790,0.042,1951636
webp,60,img050,3475404,0.7691,5.620,0.155,211584
webp,75,img050,4628540,1.0242,17.840,0.493,211584
webp,90,img050,9602362,2.1249,19.510,0.540,262168
avif,28,img050,389271,0.0861,1.200,0.033,534612
avif,36,img050,906577,0.2006,1.400,0.039,544208
avif,44,img050,1674024,0.3704,2.080,0.058,557904
jxl,30,img050,1169448,0.2588,2.320,0.064,1552444
jxl,50,img050,1835968,0.4063,2.340,0.065,1574684
jxl,70,img050,3036663,0.6720,1.950,0.054,1613412
jxl,90,img050,7255362,1.6055,2.090,0.058,1704716
webp,60,img051,1779182,0.6675,3.810,0.179,130432
webp,75,img051,2396098,0.8990,3.340,0.157,130432
webp,90,img051,5470506,2.0524,3.910,0.183,142028
avif,28,img051,316064,0.1186,1.270,0.060,329092
avif,36,img051,421689,0.1582,1.360,0.064,334208
avif,44,img051,627928,0.2356,1.510,0.071,347520
jxl,30,img051,851741,0.3196,0.930,0.044,918964
jxl,50,img051,1141568,0.4283,0.940,0.044,926484
jxl,70,img051,1839129,0.6900,0.970,0.045,958160
jxl,90,img051,4549954,1.7071,1.080,0.051,1014696
webp,60,img052,96878,0.2018,0.480,0.125,25216
webp,75,img052,117282,0.2443,0.450,0.117,25088
webp,90,img052,313416,0.6530,0.520,0.135,25088
avif,28,img052,28366,0.0591,0.150,0.039,72380
avif,36,img052,38297,0.0798,0.170,0.044,73400
avif,44,img052,50933,0.1061,0.170,0.044,75068
jxl,30,img052,78707,0.1640,0.160,0.042,173068
jxl,50,img052,101520,0.2115,0.160,0.042,173452
jxl,70,img052,135739,0.2828,0.160,0.042,174480
jxl,90,img052,355268,0.7401,0.170,0.044,180876
webp,60,img053,2997216,1.5004,3.150,0.197,107008
webp,75,img053,3558700,1.7815,2.770,0.173,107136
webp,90,img053,6259362,3.1335,3.200,0.200,151340
avif,28,img053,873847,0.4375,1.760,0.110,266724
avif,36,img053,1283548,0.6426,2.090,0.131,269668
avif,44,img053,1841531,0.9219,2.560,0.160,274148
jxl,30,img053,1451534,0.7267,0.850,0.053,724072
jxl,50,img053,1950625,0.9765,0.870,0.054,736860
jxl,70,img053,2749942,1.3766,0.860,0.054,756096
jxl,90,img053,5117275,2.5618,0.940,0.059,790536
webp,60,img054,519350,0.2081,2.140,0.107,103808
webp,75,img054,649650,0.2604,2.000,0.100,103680
webp,90,img054,1311698,0.5257,2.190,0.110,103680
avif,28,img054,171135,0.0686,0.800,0.040,315308
avif,36,img054,287999,0.1154,0.870,0.044,319784
avif,44,img054,482084,0.1932,0.960,0.048,328492
jxl,30,img054,345353,0.1384,0.770,0.039,836352
jxl,50,img054,508656,0.2039,0.750,0.038,842060
jxl,70,img054,681983,0.2733,0.770,0.039,845004
jxl,90,img054,997055,0.3996,0.770,0.039,846856
webp,60,img055,457130,0.2288,1.980,0.124,85888
webp,75,img055,640326,0.3206,1.980,0.124,85632
webp,90,img055,1635132,0.8186,2.170,0.136,85760
avif,28,img055,44773,0.0224,0.480,0.030,209880
avif,36,img055,63969,0.0320,0.490,0.031,212656
avif,44,img055,132596,0.0664,0.510,0.032,231516
jxl,30,img055,193772,0.0970,0.590,0.037,671992
jxl,50,img055,390470,0.1955,0.610,0.038,680496
jxl,70,img055,615368,0.3081,0.640,0.040,688252
jxl,90,img055,921722,0.4614,0.620,0.039,691628
webp,60,img056,449556,0.1626,2.150,0.097,113152
webp,75,img056,572704,0.2071,2.120,0.096,113152
webp,90,img056,1294270,0.4681,2.260,0.102,113280
avif,28,img056,117616,0.0425,0.780,0.035,326808
avif,36,img056,185803,0.0672,0.810,0.037,331668
avif,44,img056,358011,0.1295,0.950,0.043,340120
jxl,30,img056,288458,0.1043,0.850,0.038,920272
jxl,50,img056,376808,0.1363,0.790,0.036,922972
jxl,70,img056,638819,0.2311,0.810,0.037,931976
jxl,90,img056,1097012,0.3968,0.780,0.035,937740
webp,60,img057,1435798,0.3815,4.100,0.136,170112
webp,75,img057,1906268,0.5066,4.060,0.135,170112
webp,90,img057,4835050,1.2848,4.590,0.152,170112
avif,28,img057,286211,0.0761,1.210,0.040,419772
avif,36,img057,385064,0.1023,1.310,0.044,426552
avif,44,img057,564251,0.1499,1.470,0.049,442296
jxl,30,img057,722559,0.1920,1.200,0.040,1277936
jxl,50,img057,986633,0.2622,1.230,0.041,1286692
jxl,70,img057,1559924,0.4145,1.260,0.042,1307156
jxl,90,img057,4086506,1.0859,1.330,0.044,1372184
webp,60,img058,280962,0.2005,1.360,0.121,64256
webp,75,img058,359572,0.2566,1.290,0.115,64256
webp,90,img058,914778,0.6528,1.450,0.129,64384
avif,28,img058,64855,0.0463,0.430,0.038,176332
avif,36,img058,87758,0.0626,0.470,0.042,180060
avif,44,img058,125969,0.0899,0.510,0.045,185032
jxl,30,img058,210306,0.1501,0.460,0.041,477092
jxl,50,img058,270572,0.1931,0.440,0.039,478312
jxl,70,img058,389912,0.2783,0.470,0.042,481708
jxl,90,img058,961287,0.6860,0.470,0.042,496420
webp,60,img059,363586,0.1459,2.220,0.111,104960
webp,75,img059,493984,0.1982,2.240,0.112,104832
webp,90,img059,1567764,0.6291,2.880,0.144,104960
avif,28,img059,76590,0.0307,0.770,0.039,256904
avif,36,img059,94892,0.0381,0.760,0.038,262792
avif,44,img059,126310,0.0507,0.720,0.036,273668
jxl,30,img059,240015,0.0963,0.720,0.036,833820
jxl,50,img059,313937,0.1260,0.740,0.037,835524
jxl,70,img059,483364,0.1939,0.710,0.036,839280
jxl,90,img059,1503578,0.6033,0.740,0.037,870360
webp,60,img060,693058,0.3028,2.430,0.133,101504
webp,75,img060,842094,0.3679,2.190,0.120,101504
webp,90,img060,2040796,0.8917,2.530,0.138,101504
avif,28,img060,201744,0.0881,0.760,0.042,263856
avif,36,img060,266885,0.1166,0.760,0.042,267444
avif,44,img060,359084,0.1569,0.850,0.046,275760
jxl,30,img060,464103,0.2028,0.680,0.037,776592
jxl,50,img060,596418,0.2606,0.720,0.039,779852
jxl,70,img060,816133,0.3566,0.680,0.037,786240
jxl,90,img060,1926001,0.8415,0.740,0.040,817012
