encoder,quality,img_id,psnr_y,ssim_y,bpp
avif,28,img021,35.3066,0.925556,0.069011
avif,36,img021,36.7425,0.939047,0.102596
avif,44,img021,38.1761,0.949481,0.150268
avif,28,img022,41.8955,0.967514,0.012345
avif,36,img022,42.7617,0.969558,0.017459
avif,44,img022,43.6186,0.971920,0.027911
avif,28,img023,30.0037,0.640420,0.032205
avif,36,img023,30.1427,0.649304,0.055551
avif,44,img023,30.8849,0.717349,0.167914
avif,28,img024,38.2913,0.920306,0.044085
avif,36,img024,39.1088,0.925703,0.064045
avif,44,img024,39.8050,0.930226,0.091684
avif,28,img025,34.3621,0.943658,0.225900
avif,36,img025,36.8935,0.960269,0.363821
avif,44,img025,39.0303,0.971058,0.518920
avif,28,img026,37.8693,0.951085,0.091100
avif,36,img026,39.4817,0.963815,0.133312
avif,44,img026,41.6487,0.976310,0.208514
avif,28,img027,41.8244,0.952538,0.017558
avif,36,img027,42.3686,0.955272,0.028273
avif,44,img027,43.0050,0.959158,0.054710
avif,28,img028,38.5455,0.906847,0.016768
avif,36,img028,39.0190,0.910191,0.024755
avif,44,img028,39.4333,0.913649,0.038808
avif,28,img029,35.1899,0.885853,0.044238
avif,36,img029,36.2240,0.897715,0.068953
avif,44,img029,37.3372,0.911174,0.108076
avif,28,img030,31.5753,0.885096,0.539481
avif,36,img030,33.4531,0.912905,0.726785
avif,44,img030,35.0180,0.934310,0.906936
avif,28,img031,38.0652,0.958060,0.031462
avif,36,img031,39.6491,0.965635,0.053479
avif,44,img031,41.1822,0.972207,0.095140
avif,28,img032,42.9066,0.972714,0.015896
avif,36,img032,43.8321,0.974899,0.021948
avif,44,img032,44.4886,0.976726,0.030617
avif,28,img033,38.4380,0.896228,0.017867
avif,36,img033,38.7518,0.898578,0.025412
avif,44,img033,39.0136,0.900986,0.037298
avif,28,img034,34.5903,0.782669,0.021418
avif,36,img034,35.0163,0.802642,0.059507
avif,44,img034,36.2582,0.859563,0.285203
avif,28,img035,38.5343,0.960301,0.085622
avif,36,img035,40.8250,0.972305,0.156649
avif,44,img035,43.1276,0.980660,0.248183
avif,28,img036,39.5736,0.955673,0.026246
avif,36,img036,40.8067,0.960948,0.042618
avif,44,img036,42.0639,0.966080,0.073014
avif,28,img037,41.4430,0.956019,0.016947
avif,36,img037,42.3014,0.960389,0.024930
avif,44,img037,43.1209,0.964500,0.036669
avif,28,img038,37.5714,0.933619,0.017622
avif,36,img038,38.6614,0.939453,0.024907
avif,44,img038,39.7589,0.946656,0.036860
avif,28,img039,40.8649,0.959150,0.028785
avif,36,img039,42.0476,0.965636,0.042692
avif,44,img039,43.2430,0.971154,0.063278
avif,28,img040,27.3320,0.427459,0.026364
avif,36,img040,27.7926,0.523340,0.140368
avif,44,img040,29.9695,0.779752,0.639702
avif,28,img041,36.9752,0.897152,0.023843
avif,36,img041,37.8992,0.909776,0.038153
avif,44,img041,38.9187,0.921922,0.059775
avif,28,img042,28.4957,0.599539,0.114795
avif,36,img042,29.9052,0.730898,0.316679
avif,44,img042,32.1351,0.856207,0.659916
avif,28,img043,39.6765,0.954226,0.023568
avif,36,img043,40.8415,0.958788,0.032185
avif,44,img043,41.9512,0.962885,0.044555
avif,28,img044,43.8217,0.990628,0.045183
avif,36,img044,46.5136,0.994173,0.071227
avif,44,img044,49.0860,0.996578,0.103328
avif,28,img045,43.7635,0.970808,0.012483
avif,36,img045,44.3773,0.971979,0.016092
avif,44,img045,44.9021,0.973160,0.021776
avif,28,img046,30.4224,0.620800,0.018529
avif,36,img046,30.7985,0.645743,0.038068
avif,44,img046,31.8504,0.733758,0.098230
avif,28,img047,40.0474,0.959069,0.050132
avif,36,img047,41.6084,0.968320,0.072890
avif,44,img047,43.1158,0.975257,0.103551
avif,28,img048,44.6821,0.978868,0.009869
avif,36,img048,45.8233,0.981658,0.014965
avif,44,img048,47.0495,0.984441,0.023306
avif,28,img049,39.4495,0.923035,0.015172
avif,36,img049,39.7341,0.926397,0.024323
avif,44,img049,40.5462,0.938952,0.070060
avif,28,img050,31.0074,0.786544,0.086140
avif,36,img050,32.6717,0.863359,0.200613
avif,44,img050,34.4796,0.912126,0.370438
avif,28,img051,30.2934,0.833151,0.118581
avif,36,img051,31.3827,0.842874,0.158209
avif,44,img051,32.3717,0.857450,0.235586
avif,28,img052,35.6496,0.954630,0.059096
avif,36,img052,37.4108,0.962171,0.079785
avif,44,img052,39.2688,0.968409,0.106110
avif,28,img053,27.2277,0.933364,0.437455
avif,36,img053,29.1980,0.955672,0.642555
avif,44,img053,31.3656,0.972081,0.921887
avif,28,img054,35.7131,0.951767,0.068585
avif,36,img054,37.5289,0.962714,0.115420
avif,44,img054,39.5373,0.971936,0.193202
avif,28,img055,34.1324,0.826748,0.022414
avif,36,img055,34.7204,0.831014,0.032023
avif,44,img055,35.5449,0.848670,0.066379
avif,28,img056,33.3192,0.915671,0.042541
avif,36,img056,34.8401,0.926771,0.067203
avif,44,img056,36.5154,0.938543,0.129489
avif,28,img057,30.5744,0.775189,0.076055
avif,36,img057,31.9449,0.795863,0.102324
avif,44,img057,33.2754,0.816654,0.149939
avif,28,img058,34.9952,0.939568,0.046284
avif,36,img058,36.3871,0.948047,0.062629
avif,44,img058,37.8148,0.954958,0.089899
avif,28,img059,36.7579,0.901477,0.030731
avif,36,img059,37.4231,0.904540,0.038075
avif,44,img059,37.9563,0.907120,0.050681
avif,28,img060,30.3246,0.845117,0.088149
avif,36,img060,31.9110,0.870208,0.116612
avif,44,img060,33.4641,0.889524,0.156897
avif,28,img061,32.5241,0.868437,0.041824
avif,36,img061,33.8154,0.887919,0.080464
avif,44,img061,35.4528,0.913394,0.160212
avif,28,img062,36.1349,0.929515,0.029348
avif,36,img062,37.4299,0.936714,0.037880
avif,44,img062,38.5988,0.942054,0.051593
avif,28,img063,34.6408,0.897868,0.024086
avif,36,img063,35.8985,0.909733,0.036997
avif,44,img063,37.2293,0.921303,0.061144
avif,28,img064,33.0412,0.908255,0.081280
avif,36,img064,34.8900,0.924514,0.128465
avif,44,img064,36.8245,0.937738,0.213897
avif,28,img065,34.7225,0.925980,0.066565
avif,36,img065,36.3059,0.938261,0.085488
avif,44,img065,37.8248,0.947495,0.112874
avif,28,img066,29.3314,0.808301,0.180018
avif,36,img066,30.9961,0.833485,0.287455
avif,44,img066,32.8048,0.861740,0.456621
avif,28,img067,34.9294,0.923070,0.105887
avif,36,img067,36.4907,0.934333,0.181666
avif,44,img067,38.1289,0.947535,0.329154
avif,28,img068,31.9226,0.929516,0.053111
avif,36,img068,33.5996,0.939704,0.088346
avif,44,img068,35.5406,0.951942,0.144908
avif,28,img069,30.1633,0.916817,0.232818
avif,36,img069,32.3335,0.938429,0.337219
avif,44,img069,34.6635,0.954350,0.475470
avif,28,img070,34.8394,0.961911,0.078968
avif,36,img070,36.6162,0.966861,0.099398
avif,44,img070,38.4084,0.970553,0.127992
avif,28,img071,38.1406,0.974312,0.024625
avif,36,img071,39.4800,0.980326,0.040815
avif,44,img071,41.3938,0.983080,0.083363
avif,28,img072,35.2099,0.915583,0.075265
avif,36,img072,36.5855,0.926477,0.102928
avif,44,img072,37.9971,0.935400,0.146153
avif,28,img073,30.2638,0.700518,0.046117
avif,36,img073,30.9292,0.737786,0.103424
avif,44,img073,32.1130,0.796437,0.246369
avif,28,img074,34.6642,0.867721,0.040073
avif,36,img074,35.5401,0.879127,0.056103
avif,44,img074,36.3852,0.888891,0.080922
avif,28,img075,37.6443,0.968495,0.043140
avif,36,img075,39.4591,0.974627,0.061913
avif,44,img075,41.2580,0.978999,0.084993
avif,28,img076,26.2974,0.512603,0.145227
avif,36,img076,27.7317,0.674265,0.299126
avif,44,img076,29.5961,0.799183,0.538288
avif,28,img077,31.6946,0.871487,0.106499
avif,36,img077,33.4892,0.893897,0.199001
avif,44,img077,35.3502,0.913591,0.317609
avif,28,img078,27.9500,0.870440,0.444169
avif,36,img078,29.8702,0.917208,0.659424
avif,44,img078,31.9267,0.948138,0.943746
avif,28,img079,25.3825,0.859900,0.491147
avif,36,img079,27.1833,0.907710,0.747083
avif,44,img079,29.3208,0.942703,1.121021
avif,28,img080,28.2414,0.871929,0.440888
avif,36,img080,30.0917,0.916544,0.658931
avif,44,img080,32.0846,0.946941,0.951459
avif,28,img081,30.7881,0.909830,0.239564
avif,36,img081,33.1860,0.933734,0.405203
avif,44,img081,35.2399,0.947742,0.541309
avif,28,img082,33.7394,0.888907,0.067837
avif,36,img082,35.4767,0.896960,0.117198
avif,44,img082,36.9082,0.904278,0.177602
avif,28,img083,35.6932,0.929856,0.032850
avif,36,img083,36.8353,0.935474,0.040070
avif,44,img083,37.9762,0.940270,0.050020
avif,28,img084,33.1441,0.860158,0.070518
avif,36,img084,34.4552,0.876556,0.096331
avif,44,img084,35.7326,0.891188,0.132943
avif,28,img085,30.8426,0.856250,0.138266
avif,36,img085,32.4351,0.885222,0.193158
avif,44,img085,33.9603,0.907720,0.266377
avif,28,img086,36.3419,0.916669,0.017290
avif,36,img086,37.1668,0.920590,0.023707
avif,44,img086,37.9316,0.924263,0.033715
avif,28,img087,30.5971,0.886472,0.164242
avif,36,img087,32.1423,0.912128,0.217473
avif,44,img087,33.6603,0.931857,0.286650
avif,28,img088,36.9941,0.944156,0.046557
avif,36,img088,38.5384,0.956821,0.072687
avif,44,img088,40.2442,0.967430,0.130543
avif,28,img089,35.0050,0.916413,0.060462
avif,36,img089,36.5263,0.933236,0.084091
avif,44,img089,37.8813,0.945528,0.114949
avif,28,img090,30.4244,0.872313,0.107348
avif,36,img090,32.0597,0.904606,0.191967
avif,44,img090,34.3100,0.936987,0.345187
avif,28,img091,30.5798,0.791037,0.091719
avif,36,img091,31.9221,0.818044,0.133783
avif,44,img091,33.2098,0.842431,0.191672
avif,28,img092,31.4007,0.861219,0.065903
avif,36,img092,32.7371,0.885257,0.100966
avif,44,img092,34.1990,0.906624,0.157198
avif,28,img093,31.8318,0.833834,0.066869
avif,36,img093,32.9388,0.851923,0.093767
avif,44,img093,34.1064,0.871822,0.138344
avif,28,img094,26.0852,0.809175,0.346778
avif,36,img094,27.8028,0.838996,0.528530
avif,44,img094,29.8559,0.867056,0.792385
avif,28,img095,34.6548,0.869010,0.025673
avif,36,img095,35.5553,0.883104,0.040488
avif,44,img095,36.5439,0.895845,0.062855
avif,28,img096,32.3607,0.897164,0.163687
avif,36,img096,34.3064,0.913974,0.281602
avif,44,img096,35.9897,0.927952,0.424914
avif,28,img097,27.4442,0.697791,0.178426
avif,36,img097,29.0553,0.778436,0.311489
avif,44,img097,30.9132,0.846160,0.506034
avif,28,img098,33.7655,0.826149,0.031006
avif,36,img098,34.7658,0.849804,0.051904
avif,44,img098,35.8524,0.874185,0.085658
avif,28,img099,27.8080,0.686480,0.131270
avif,36,img099,29.3518,0.766534,0.221681
avif,44,img099,31.0523,0.833470,0.359612
avif,28,img100,36.5272,0.827767,0.006559
avif,36,img100,36.6777,0.828246,0.007817
avif,44,img100,36.7831,0.828779,0.010141
jxl,30,img001,36.1497,0.939084,0.307516
jxl,50,img001,37.7507,0.951952,0.414263
jxl,70,img001,39.8562,0.963976,0.596102
jxl,90,img001,47.5798,0.988437,1.280429
jxl,30,img002,35.3355,0.953974,0.290772
jxl,50,img002,36.9616,0.964485,0.398183
