encoder,quality,img_id,bytes,wall_s,user_s,sys_s,max_rss_kb
avif,36,img015,147798,0.740,0.990,0.150,298892
avif,44,img015,362796,0.770,1.050,0.150,308112
jxl,30,img015,313431,0.850,1.220,0.390,878996
jxl,50,img015,529208,0.870,1.340,0.370,888076
jxl,70,img015,997104,0.860,1.350,0.360,906356
jxl,90,img015,2731139,0.970,1.530,0.410,945276
webp,60,img016,723280,2.060,2.000,0.060,95232
webp,75,img016,919110,2.070,2.070,0.040,95488
webp,90,img016,2179498,2.510,2.490,0.070,95360
avif,28,img016,151047,0.550,0.770,0.130,252612
avif,36,img016,259022,0.620,0.970,0.120,259008
avif,44,img016,417794,0.770,1.330,0.140,266696
jxl,30,img016,410899,0.650,0.950,0.280,710536
jxl,50,img016,576737,0.630,0.930,0.260,715480
jxl,70,img016,850363,0.650,0.950,0.280,722080
jxl,90,img016,2007938,0.680,1.030,0.290,748964
webp,60,img017,685038,2.280,2.150,0.060,105984
webp,75,img017,896700,2.240,2.230,0.060,105984
webp,90,img017,2196736,2.620,2.600,0.070,105984
avif,28,img017,213833,0.620,0.960,0.130,310804
avif,36,img017,367782,0.670,1.150,0.120,316172
avif,44,img017,572829,0.740,1.340,0.140,326548
jxl,30,img017,327544,0.680,0.990,0.300,809908
jxl,50,img017,462558,0.680,0.980,0.310,814352
jxl,70,img017,730920,0.700,1.040,0.310,822568
jxl,90,img017,1920941,0.740,1.130,0.320,853020
webp,60,img018,2284548,3.610,3.340,0.100,147072
webp,75,img018,2907664,3.530,3.500,0.100,147072
webp,90,img018,6090846,7.050,6.910,0.210,158172
avif,28,img018,494008,0.980,1.800,0.170,375136
avif,36,img018,774225,1.140,2.340,0.180,381140
avif,44,img018,1214783,1.310,3.010,0.180,387936
jxl,30,img018,991380,1.210,1.620,0.430,1032928
jxl,50,img018,1392534,1.030,1.540,0.470,1044476
jxl,70,img018,2139011,1.220,1.850,0.480,1068784
jxl,90,img018,4842958,1.280,1.970,0.570,1126400
webp,60,img019,3652498,3.480,3.140,0.130,116608
webp,75,img019,4301580,3.330,3.250,0.130,116608
webp,90,img019,7114812,3.520,3.390,0.170,172364
avif,28,img019,893044,0.660,1.050,0.130,263164
avif,36,img019,1631171,0.740,1.300,0.130,273660
avif,44,img019,2495285,0.840,1.600,0.130,287744
jxl,30,img019,1247662,0.710,1.100,0.320,816668
jxl,50,img019,1909047,0.720,1.150,0.320,834708
jxl,70,img019,2995608,0.860,1.350,0.360,857924
jxl,90,img019,5652470,0.840,1.470,0.370,892720
webp,60,img020,9485480,22.870,21.660,0.560,273152
webp,75,img020,11065914,22.480,22.110,0.480,295436
webp,90,img020,17706344,23.760,22.950,0.920,432572
avif,28,img020,2778651,2.640,6.440,0.330,670532
avif,36,img020,4340653,3.340,8.850,0.350,681668
avif,44,img020,5976573,3.740,10.630,0.350,690884
jxl,30,img020,3873604,1.910,2.990,0.720,1899520
jxl,50,img020,6002506,1.980,3.130,0.790,1957504
jxl,70,img020,7751802,2.050,3.290,0.810,1984060
jxl,90,img020,11113204,2.120,3.450,0.810,2020376
webp,60,img021,470214,1.710,1.610,0.030,77184
webp,75,img021,607598,1.680,1.690,0.030,77312
webp,90,img021,1765502,1.960,1.930,0.060,77312
avif,28,img021,113422,0.520,0.800,0.110,189600
avif,36,img021,168620,0.570,0.990,0.090,193832
avif,44,img021,246971,0.610,1.180,0.100,202400
jxl,30,img021,286761,0.540,0.790,0.240,561792
jxl,50,img021,377771,0.580,0.820,0.240,564372
jxl,70,img021,554531,0.550,0.820,0.240,568692
jxl,90,img021,1565641,0.590,0.950,0.240,599496
webp,60,img022,92042,0.970,0.920,0.030,51584
webp,75,img022,120344,0.950,0.940,0.040,51712
webp,90,img022,385302,1.110,1.110,0.030,51584
avif,28,img022,15229,0.260,0.310,0.070,166092
avif,36,img022,21538,0.250,0.310,0.060,170572
avif,44,img022,34431,0.270,0.340,0.070,175948
jxl,30,img022,57059,0.330,0.520,0.160,416440
jxl,50,img022,73968,0.340,0.530,0.170,416956
jxl,70,img022,114596,0.350,0.590,0.170,417728
jxl,90,img022,353310,0.350,0.550,0.180,424120
webp,60,img023,1046326,2.150,1.830,0.040,80384
webp,75,img023,1430760,2.090,2.080,0.050,80384
webp,90,img023,3123358,2.420,2.400,0.070,88792
avif,28,img023,54945,0.410,0.540,0.080,196348
avif,36,img023,94777,0.430,0.630,0.080,204928
avif,44,img023,286480,0.490,0.770,0.110,215940
jxl,30,img023,173800,0.460,0.680,0.220,582312
jxl,50,img023,294217,0.470,0.680,0.240,588480
jxl,70,img023,697429,0.500,0.810,0.210,609220
jxl,90,img023,2184115,0.590,0.910,0.230,646748
webp,60,img024,457810,2.330,2.070,0.050,100480
webp,75,img024,577484,2.140,2.130,0.060,100608
webp,90,img024,1735260,2.510,2.480,0.070,100608
avif,28,img024,97949,0.700,0.890,0.120,278184
avif,36,img024,142295,0.650,0.920,0.130,282024
avif,44,img024,203705,0.690,1.080,0.120,285100
jxl,30,img024,293702,0.720,0.970,0.280,750868
jxl,50,img024,385060,0.700,1.000,0.270,752116
jxl,70,img024,555228,0.700,0.990,0.290,755940
jxl,90,img024,1667126,0.740,1.110,0.270,789220
webp,60,img025,1192956,2.800,2.620,0.070,123264
webp,75,img025,1424558,2.680,2.680,0.070,123136
webp,90,img025,2825396,3.020,3.000,0.080,123136
avif,28,img025,624569,1.030,2.020,0.170,371344
avif,36,img025,1005893,1.220,2.720,0.160,376856
avif,44,img025,1434709,1.470,3.340,0.170,385428
jxl,30,img025,707142,0.930,1.320,0.380,938772
jxl,50,img025,933716,0.860,1.260,0.360,943460
jxl,70,img025,1307484,0.960,1.390,0.420,952224
jxl,90,img025,2579823,0.960,1.460,0.400,975376
webp,60,img026,1030060,2.790,2.590,0.090,118400
webp,75,img026,1291394,2.700,2.710,0.050,118528
